id,product,stock
0,Apple0,10000
1,Orange1,10000
2,Orange2,10000
3,Apple3,10000
4,Apple4,10000
5,Orange5,10000
6,Orange6,10000
7,Orange7,10000
8,Apple8,10000
9,Orange9,10000
10,Apple10,10000
11,Orange11,10000
12,Orange12,10000
13,Orange13,10000
14,Orange14,10000
15,Orange15,10000
16,Orange16,10000
17,Orange17,10000
18,Orange18,10000
19,Orange19,10000
20,Orange20,10000
21,Orange21,10000
22,Orange22,10000
23,Orange23,10000
24,Orange24,10000
25,Orange25,10000
26,Orange26,10000
27,Apple27,10000
28,Orange28,10000
29,Orange29,10000
30,Orange30,10000
31,Orange31,10000
32,Orange32,10000
33,Apple33,10000
34,Orange34,10000
35,Orange35,10000
36,Orange36,10000
37,Apple37,10000
38,Orange38,10000
39,Orange39,10000
40,Apple40,10000
41,Apple41,10000
42,Orange42,10000
43,Apple43,10000
44,Orange44,10000
45,Orange45,10000
46,Orange46,10000
47,Orange47,10000
48,Orange48,10000
49,Orange49,10000
